nu,seed,Method,L1,Linf,E_SG_T4,E_mean_max_0_4,E_mean_final_T4,E_mean_argmax_time,SG_points,SG_fraction,SG_threshold,final_abs_error_p95,final_abs_error_p99,Time,N_native,N_eval,native_substeps,traditional_substeps,nn_substeps,source_treatment,RefTime,model_path
0.0,1819,WENO-Z (2000),5.211064490140416e-05,0.0036197900772094727,0.0017988383769989014,2.212524350397871e-06,2.1076202756376006e-06,3.664,4,0.02,7.480181694030762,3.4047665394609794e-05,0.00015402276767417789,0.0980067253112793,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.18667149543762207,
0.0,1819,Ours (200),0.0005721152410842478,0.03288590908050537,0.009299620985984802,2.784729076665826e-06,2.6226043701171875e-06,3.568,4,0.02,7.480181694030762,0.0012767433654516935,0.0019610212184488773,0.1409776210784912,200,200,2,0,2,train_py_original_ours_protocol,0.18667149543762207,code/model_fixed.pkl
0.0,1820,FVM (200),0.022602275013923645,1.0564771890640259,0.5368087887763977,1.3184547924538492e-06,5.912780807193485e-07,2.608,3,0.015,11.41247844696045,0.03135187178850174,0.29023560881614685,0.022087574005126953,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.24478745460510254,
0.0,1820,WENO-Z (200),0.006490741390734911,0.4701652526855469,0.3158985376358032,1.2660026413868763e-06,5.245208853921213e-07,2.608,3,0.015,11.41247844696045,0.0008506447775289416,0.1452423334121704,0.02331829071044922,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.24478745460510254,
0.0,1820,FVM (400),0.010164482519030571,0.6290402412414551,0.2970617115497589,1.323223159488407e-06,4.95910626341356e-07,2.608,3,0.015,11.41247844696045,0.015674280002713203,0.07133886963129044,0.013830900192260742,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.24478745460510254,
0.0,1820,WENO-Z (400),0.002244161907583475,0.20290613174438477,0.13560594618320465,1.2922287169203628e-06,5.340576763046556e-07,2.512,3,0.015,11.41247844696045,4.388094021123834e-05,0.02225455641746521,0.021181583404541016,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.24478745460510254,
0.0,1820,FVM (800),0.004693411756306887,0.29380619525909424,0.13221676647663116,1.220703097715159e-06,2.9563904035967425e-07,2.608,3,0.015,11.41247844696045,0.00776565819978714,0.03403481841087341,0.0316774845123291,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.24478745460510254,
0.0,1820,WENO-Z (800),0.000659637211356312,0.06464004516601562,0.043167706578969955,1.2445450465747854e-06,4.863738922722405e-07,2.608,3,0.015,11.41247844696045,1.621842420718167e-05,0.0013531855074688792,0.04253864288330078,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.24478745460510254,
0.0,1820,FVM (1000),0.0036567728966474533,0.22526538372039795,0.0993332490324974,1.1968612625423702e-06,3.8146970382513246e-07,2.512,3,0.015,11.41247844696045,0.0062148659490048885,0.026923401281237602,0.056174516677856445,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.24478745460510254,
0.0,1820,WENO-Z (1000),0.00041835434967651963,0.041069746017456055,0.027424076572060585,1.3399123872659402e-06,3.719329981777264e-07,2.608,3,0.015,11.41247844696045,1.4135242054180708e-05,0.0007526358822360635,0.07204341888427734,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.24478745460510254,
0.0,1820,FVM (2000),0.0016772380331531167,0.09712803363800049,0.03919224068522453,1.1730193136827438e-06,9.441375823371345e-07,3.664,3,0.015,11.41247844696045,0.0031556026078760624,0.007067459169775248,0.06561779975891113,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.24478745460510254,
0.0,1820,WENO-Z (2000),8.874380000634119e-05,0.006920814514160156,0.004518320318311453,1.1157990229548886e-06,8.1062319168268e-07,2.608,3,0.015,11.41247844696045,5.1057340897386894e-05,0.000344497908372432,0.09857845306396484,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.24478745460510254,
0.0,1820,Ours (200),0.00029199919663369656,0.008567612618207932,0.005120489746332169,1.4591216768167214e-06,7.629394644936838e-07,2.512,3,0.015,11.41247844696045,0.0005684822681359947,0.0008662492036819458,0.24570465087890625,200,200,2,0,2,train_py_original_ours_protocol,0.24478745460510254,code/model_fixed.pkl
0.0,1821,FVM (200),0.026892216876149178,0.771338939666748,0.4459535777568817,4.425048700795742e-06,4.425048700795742e-06,4.0,2,0.01,7.737420082092285,0.10764867067337036,0.23466160893440247,0.012817144393920898,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.18739557266235352,
0.0,1821,WENO-Z (200),0.005834130570292473,0.24663019180297852,0.21033063530921936,4.615783382178051e-06,4.615783382178051e-06,4.0,2,0.01,7.737420082092285,0.017516113817691803,0.17409910261631012,0.011292457580566406,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.18739557266235352,
0.0,1821,FVM (400),0.012670610100030899,0.3728010654449463,0.20750296115875244,4.463195637072204e-06,4.463195637072204e-06,4.0,2,0.01,7.737420082092285,0.038377851247787476,0.12296461313962936,0.030658960342407227,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.18739557266235352,
0.0,1821,WENO-Z (400),0.0019206935539841652,0.09472610056400299,0.05903550982475281,4.463195637072204e-06,4.463195637072204e-06,4.0,2,0.01,7.737420082092285,0.0008763489313423634,0.06209862604737282,0.036786556243896484,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.18739557266235352,
0.0,1821,FVM (800),0.006223994307219982,0.1134263277053833,0.1076776385307312,4.310607891966356e-06,4.310607891966356e-06,4.0,2,0.01,7.737420082092285,0.013115574605762959,0.08875390887260437,0.030220508575439453,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.18739557266235352,
0.0,1821,WENO-Z (800),0.0005114478408358991,0.03603029251098633,0.006704539060592651,4.348754828242818e-06,4.348754828242818e-06,4.0,2,0.01,7.737420082092285,3.471974196145311e-05,0.007302368525415659,0.042269229888916016,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.18739557266235352,
0.0,1821,FVM (1000),0.004915748722851276,0.11454445123672485,0.08596506714820862,4.00543194700731e-06,4.00543194700731e-06,4.0,2,0.01,7.737420082092285,0.010001789778470993,0.06929916888475418,0.037879228591918945,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.18739557266235352,
0.0,1821,WENO-Z (1000),0.00032743869815021753,0.025127649307250977,0.0025189369916915894,4.348754828242818e-06,4.348754828242818e-06,4.0,2,0.01,7.737420082092285,3.505945278448053e-05,0.004148641601204872,0.0520932674407959,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.18739557266235352,
0.0,1821,FVM (2000),0.002323325490579009,0.0812268853187561,0.042837291955947876,6.217956524778856e-06,6.217956524778856e-06,4.0,2,0.01,7.737420082092285,0.00415925495326519,0.04054686054587364,0.08528757095336914,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.18739557266235352,
0.0,1821,WENO-Z (2000),9.183150541502982e-05,0.005511343479156494,0.0002952069044113159,4.615783382178051e-06,4.615783382178051e-06,4.0,2,0.01,7.737420082092285,9.448826313018799e-05,0.0006232678424566984,0.12618732452392578,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.18739557266235352,
0.0,1821,Ours (200),0.0005979185807518661,0.006159543991088867,0.00285184383392334,4.692077709478326e-06,4.692077709478326e-06,4.0,2,0.01,7.737420082092285,0.0026030761655420065,0.00546618364751339,0.09590029716491699,200,200,2,0,2,train_py_original_ours_protocol,0.18739557266235352,code/model_fixed.pkl
0.0,1822,FVM (200),0.0263677891343832,0.6718761920928955,0.5556086301803589,6.103516057009983e-07,2.2888184503244702e-07,2.2880000000000003,4,0.02,9.11227035522461,0.03703680261969566,0.48696446418762207,0.01304006576538086,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.25176095962524414,
0.0,1822,WENO-Z (200),0.008082414977252483,0.34091830253601074,0.3377516269683838,5.912780807193485e-07,2.0980834847250662e-07,2.4,4,0.02,9.11227035522461,0.007855672389268875,0.33816108107566833,0.02295660972595215,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.25176095962524414,
0.0,1822,FVM (400),0.01240899320691824,0.34365200996398926,0.2816167175769806,6.103515488575795e-07,1.9073486612342094e-07,2.448,4,0.02,9.11227035522461,0.01289442740380764,0.24625982344150543,0.01920342445373535,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.25176095962524414,
0.0,1822,WENO-Z (400),0.003201701445505023,0.15687382221221924,0.15038348734378815,6.484985419774603e-07,2.670288097306184e-07,2.4,4,0.02,9.11227035522461,0.0001374006678815931,0.144379660487175,0.02460503578186035,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.25176095962524414,
0.0,1822,FVM (800),0.005696992855519056,0.14190053939819336,0.1170688271522522,6.103515488575795e-07,7.629394360719743e-08,2.4,4,0.02,9.11227035522461,0.006387703586369753,0.10619763284921646,0.04531526565551758,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.25176095962524414,
0.0,1822,WENO-Z (800),0.0011235337005928159,0.06199002265930176,0.05544814467430115,6.866454782539222e-07,2.8610230629055877e-07,2.448,4,0.02,9.11227035522461,1.4849008948658593e-05,0.04910813644528389,0.040060997009277344,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.25176095962524414,
0.0,1822,FVM (1000),0.004384297411888838,0.10581207275390625,0.08495289087295532,6.294250169958104e-07,4.5776369006489404e-07,2.528,4,0.02,9.11227035522461,0.0051127346232533455,0.0784510001540184,0.053778886795043945,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.25176095962524414,
