Cell-Center Velocity Error Report
Input NetCDF: fno_predictions_30cases_20steps.nc
Trajectories: 30   Steps: 400
Reference variables: gt_u, gt_v
CC grid: 64 x 64

Metrics:
  RelL2 = sqrt(sum(du^2)+sum(dv^2)) / sqrt(sum(u_ref^2)+sum(v_ref^2))
  MaxErr = max sqrt(du^2 + dv^2)


============================================================
  Method: FNO
============================================================
Step    RelL2_mean    RelL2_std     MaxErr_mean   MaxErr_std    
220     6.9951e-03    4.2366e-03    3.2697e-03    2.0747e-03    
221     7.0249e-03    4.2662e-03    3.2704e-03    2.0182e-03    
222     7.0454e-03    4.2728e-03    3.2548e-03    2.0300e-03    
223     6.9997e-03    4.2677e-03    3.2131e-03    2.0826e-03    
224     6.9174e-03    4.2550e-03    3.2038e-03    2.0993e-03    
225     6.8371e-03    4.2421e-03    3.2741e-03    2.1071e-03    
226     6.7875e-03    4.2406e-03    3.2950e-03    2.0826e-03    
227     6.7716e-03    4.2403e-03    3.2223e-03    2.1418e-03    
228     6.8335e-03    4.1745e-03    3.2152e-03    2.1169e-03    
229     6.8453e-03    4.0263e-03    3.2470e-03    2.1204e-03    
230     6.8118e-03    3.8935e-03    3.1908e-03    2.0719e-03    
231     6.7330e-03    3.7924e-03    3.1185e-03    1.9908e-03    
232     6.6243e-03    3.7250e-03    3.0698e-03    1.9192e-03    
233     6.5292e-03    3.6869e-03    3.0528e-03    1.8411e-03    
234     6.4909e-03    3.6328e-03    3.0429e-03    1.7429e-03    
235     6.5134e-03    3.5865e-03    3.0348e-03    1.6264e-03    
236     6.5220e-03    3.5398e-03    2.9401e-03    1.5569e-03    
237     6.5229e-03    3.4917e-03    2.9684e-03    1.5678e-03    
238     6.5257e-03    3.4812e-03    2.9313e-03    1.4980e-03    
239     6.5341e-03    3.5254e-03    2.9519e-03    1.5618e-03    
240     6.5367e-03    3.5023e-03    3.0014e-03    1.5810e-03    
241     6.5369e-03    3.4445e-03    2.9674e-03    1.6185e-03    
242     6.5608e-03    3.3754e-03    2.9419e-03    1.6496e-03    
243     6.6067e-03    3.2970e-03    2.9808e-03    1.6396e-03    
244     6.6779e-03    3.3030e-03    3.0409e-03    1.6734e-03    
