Cell-Center Velocity Error Report
Input NetCDF: gnot_predictions_30cases_400steps.nc
Trajectories: 30   Steps: 400
Reference variables: gt_u, gt_v
CC grid: 64 x 64

Metrics:
  RelL2 = sqrt(sum(du^2)+sum(dv^2)) / sqrt(sum(u_ref^2)+sum(v_ref^2))
  MaxErr = max sqrt(du^2 + dv^2)


============================================================
  Method: GNOT
============================================================
Step    RelL2_mean    RelL2_std     MaxErr_mean   MaxErr_std    
287     4.8653e-03    2.4354e-03    2.7262e-03    1.3007e-03    
288     4.8700e-03    2.4223e-03    2.6731e-03    1.2056e-03    
289     4.8811e-03    2.4186e-03    2.6110e-03    1.1823e-03    
290     4.8622e-03    2.4102e-03    2.6681e-03    1.1403e-03    
291     4.8071e-03    2.4045e-03    2.5523e-03    1.1537e-03    
292     4.7903e-03    2.3523e-03    2.5965e-03    1.1578e-03    
293     4.7791e-03    2.2832e-03    2.5305e-03    1.1801e-03    
294     4.7630e-03    2.2394e-03    2.5186e-03    1.1637e-03    
295     4.7468e-03    2.2056e-03    2.4938e-03    1.1674e-03    
296     4.7229e-03    2.1922e-03    2.4637e-03    1.1966e-03    
297     4.6811e-03    2.2248e-03    2.4355e-03    1.2374e-03    
298     4.6457e-03    2.2519e-03    2.4742e-03    1.2450e-03    
299     4.6316e-03    2.2535e-03    2.4143e-03    1.1657e-03    
300     4.6384e-03    2.2571e-03    2.3933e-03    1.1572e-03    
301     4.6476e-03    2.2796e-03    2.4028e-03    1.1802e-03    
302     4.6680e-03    2.2980e-03    2.3957e-03    1.1986e-03    
303     4.6513e-03    2.3209e-03    2.4336e-03    1.2019e-03    
304     4.6146e-03    2.3659e-03    2.3726e-03    1.2410e-03    
305     4.6182e-03    2.3904e-03    2.4356e-03    1.2984e-03    
306     4.6345e-03    2.3972e-03    2.4639e-03    1.2743e-03    
307     4.6579e-03    2.4195e-03    2.4788e-03    1.3305e-03    
308     4.7044e-03    2.4339e-03    2.5346e-03    1.3737e-03    
309     4.7253e-03    2.4491e-03    2.5084e-03    1.3456e-03    
310     4.7106e-03    2.4574e-03    2.4260e-03    1.2706e-03    
311     4.6861e-03    2.4445e-03    2.4398e-03    1.2799e-03    
312     4.6733e-03    2.4348e-03    2.4623e-03    1.2709e-03    
313     4.6713e-03    2.4363e-03    2.4630e-03    1.1850e-03    
314     4.6888e-03    2.4525e-03    2.4118e-03    1.1337e-03    
315     4.6972e-03    2.4855e-03    2.4274e-03    1.1313e-03    
316     4.7008e-03    2.5137e-03    2.3365e-03    1.0721e-03    
317     4.6960e-03    2.5244e-03    2.3418e-03    1.0114e-03    
