Method,Seed,HCT_0.95,HCT_0.80,HCT_0.95_steps,HCT_0.80_steps
Ours_Large,31,7.082608437780561,8.344855486097888,101.0,119.0
LI,31,5.189237865304569,7.082608437780561,74.0,101.0
Ours_Large_with_proj,0,6.311235241586638,7.222858109815819,90.0,103.0
Ours_Large_with_proj,1,5.960611061498491,6.942358765745301,84.99999999999999,99.0
Ours_Large_with_proj,2,7.783856797956854,9.11622868229181,111.0,130.0
Ours_Large_with_proj,3,6.661859421674785,8.344855486097888,95.0,119.0
Ours_Large_with_proj,4,7.15273327379819,9.536977698397584,102.0,135.99999999999997
Ours_Large_with_proj,5,9.18635351830944,10.30835089459151,131.0,147.0
Ours_Large_with_proj,6,7.012483601762931,8.274730650080258,100.0,118.0
Ours_Large_with_proj,7,8.20460581406263,9.677227370432844,117.0,137.99999999999997
Ours_Large_with_proj,8,8.064356142027371,9.536977698397587,115.0,136.00000000000003
Ours_Large_with_proj,9,6.381360077604267,7.713731961939224,91.0,110.0
Ours_Large_with_proj,10,7.363107781851077,9.18635351830944,105.0,131.0
Ours_Large_with_proj,11,7.503357453886336,9.46685286237996,107.0,135.00000000000003
Ours_Large_with_proj,12,7.643607125921595,9.747352206450474,109.0,139.0
Ours_Large_with_proj,13,6.942358765745301,8.274730650080258,99.0,118.0
Ours_Large_with_proj,14,8.20460581406263,11.780972450961722,117.0,167.99999999999997
Ours_Large_with_proj,15,8.20460581406263,10.02785155052099,117.0,143.0
Ours_Large_with_proj,16,6.2411104055690085,8.344855486097888,89.0,119.0
Ours_Large_with_proj,17,6.381360077604267,9.11622868229181,91.0,130.0
Ours_Large_with_proj,18,7.783856797956854,9.536977698397587,111.0,136.00000000000003
Ours_Large_with_proj,19,6.381360077604267,8.344855486097888,91.0,119.0
Ours_Large_with_proj,20,6.872233929727672,9.607102534415214,98.0,136.99999999999997
Ours_Large_with_proj,21,8.134480978045,9.256478354327069,116.0,132.0
Ours_Large_with_proj,22,5.680111717427974,7.853981633974483,81.0,112.0
Ours_Large_with_proj,23,7.012483601762931,8.625354830168405,100.0,123.0
Ours_Large_with_proj,24,7.292982945833448,9.046103846274182,104.0,129.0
Ours_Large_with_proj,25,6.942358765745301,8.134480978045,99.0,116.0
Ours_Large_with_proj,26,6.591734585657155,9.11622868229181,94.0,130.0
Ours_Large_with_proj,27,8.695479666186035,10.729099910697284,124.0,153.0
Ours_Large_with_proj,28,6.802109093710043,9.18635351830944,97.0,131.0
Ours_Large_with_proj,29,7.082608437780561,8.625354830168405,101.0,123.0
Ours_Large_with_proj,30,7.924106469992112,9.887601878485732,113.0,141.0
Ours_Large_with_proj,31,7.573482289903966,8.695479666186035,108.0,124.0
Ours_base,0,5.469737209375087,6.521609749639526,78.0,93.0
Ours_base,1,5.680111717427974,6.591734585657155,81.0,94.0
Ours_base,2,6.10086073353375,7.503357453886336,87.0,107.0
Ours_base,3,7.363107781851077,9.18635351830944,105.0,131.0
Ours_base,4,6.521609749639526,9.11622868229181,93.0,130.0
Ours_base,5,6.661859421674785,9.046103846274182,95.0,129.0
Ours_base,6,7.082608437780561,8.274730650080258,101.0,118.0
Ours_base,7,7.853981633974483,8.975979010256552,112.0,128.0
Ours_base,8,7.994231306009741,9.396728026362329,114.0,134.00000000000003
Ours_base,9,6.170985569551379,7.433232617868707,88.0,106.0
Ours_base,10,7.503357453886336,8.695479666186035,107.0,124.0
Ours_base,11,7.012483601762931,8.975979010256552,100.0,128.0
